epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
125,436.419,1.06247,0.83121,0.05692,0.05553,0.71797,0.45641,0.50494,0.34237,1.54698,2.48364,0.0242,0.08968,0.0005908,0.0005908,0.0005908
126,439.942,0.99598,0.80556,0.05481,0.04815,0.70939,0.48906,0.52446,0.35573,1.51708,2.32925,0.02372,0.08519,0.0005875,0.0005875,0.0005875
127,443.187,1.06433,0.85058,0.05856,0.06106,0.86147,0.46748,0.57051,0.37787,1.51605,2.24973,0.02385,0.08311,0.0005842,0.0005842,0.0005842
128,446.505,1.0547,0.8187,0.05337,0.05381,0.80955,0.4961,0.57115,0.36652,1.54473,2.13593,0.02535,0.07222,0.0005809,0.0005809,0.0005809
129,449.647,1.01608,0.7922,0.06389,0.05566,0.69395,0.52023,0.56441,0.35733,1.62321,2.08354,0.02608,0.0703,0.0005776,0.0005776,0.0005776
130,452.913,1.0419,0.83366,0.05475,0.05443,0.65517,0.52963,0.53989,0.35571,1.57599,2.19503,0.02493,0.059,0.0005743,0.0005743,0.0005743
131,456.119,1.02476,0.76103,0.05859,0.05238,0.62122,0.51676,0.50831,0.33231,1.5357,2.28844,0.02462,0.05878,0.000571,0.000571,0.000571
132,459.41,1.03072,0.82655,0.05868,0.04843,0.70735,0.4673,0.49477,0.32876,1.54729,2.34357,0.02627,0.06596,0.0005677,0.0005677,0.0005677
133,462.868,1.0145,0.79442,0.06111,0.04981,0.7553,0.48168,0.48171,0.32556,1.50832,2.42233,0.0264,0.06202,0.0005644,0.0005644,0.0005644
134,466.109,1.03546,0.8311,0.05944,0.04781,0.73091,0.47736,0.50191,0.32298,1.58838,2.26404,0.02648,0.06431,0.0005611,0.0005611,0.0005611
135,469.346,1.02295,0.77911,0.06092,0.05101,0.79759,0.45263,0.52883,0.33431,1.60821,2.22289,0.02689,0.06837,0.0005578,0.0005578,0.0005578
136,472.613,1.00505,0.75204,0.05833,0.05412,0.71606,0.46675,0.53502,0.33209,1.61174,2.20638,0.02635,0.07035,0.0005545,0.0005545,0.0005545
137,475.861,0.98618,0.78453,0.0595,0.05108,0.80712,0.45585,0.52329,0.33081,1.57834,2.18889,0.02578,0.06957,0.0005512,0.0005512,0.0005512
138,479.075,1.00974,0.7747,0.06005,0.0531,0.84282,0.48401,0.51937,0.33147,1.55346,2.14234,0.02506,0.06304,0.0005479,0.0005479,0.0005479
139,482.601,1.00817,0.74794,0.06084,0.05298,0.79784,0.47427,0.52476,0.33521,1.55606,2.0766,0.025,0.06583,0.0005446,0.0005446,0.0005446
140,485.845,1.04243,0.87182,0.05783,0.04593,0.77334,0.47566,0.54687,0.3567,1.56219,2.04589,0.02564,0.06272,0.0005413,0.0005413,0.0005413
141,489.057,1.03373,0.836,0.05855,0.05046,0.72995,0.49197,0.52811,0.35028,1.52747,2.16425,0.02468,0.06342,0.000538,0.000538,0.000538
142,492.319,1.02105,0.8028,0.05603,0.04931,0.67218,0.50219,0.52194,0.34619,1.5382,2.21938,0.02405,0.06379,0.0005347,0.0005347,0.0005347
